"PerformanceID";"StudentID";"StudyHoursPerWeek";"PerformanceScore";"EngagementID";"AttendanceID";"GradeID"
65536;"S00001";12.5;62.59;65536;65536;65536
65537;"S00002";9.3;60.75;65536;65536;0
65538;"S00003";13.2;57.23;65536;65536;65538
65539;"S00004";17.6;57.76;65537;65536;0
65540;"S00005";8.8;64.9;65536;65536;0
65541;"S00006";8.8;58.55;65537;65536;0
65542;"S00007";17.9;61.96;65536;65536;0
65543;"S00008";13.8;61.1;65536;65536;0
65544;"S00009";7.7;77.52;65538;65536;0
65545;"S00010";12.7;32.96;65537;65536;0
65546;"S00011";7.7;53.92;65539;65536;0
65547;"S00012";7.7;56.79;65537;65536;0
65548;"S00013";11.2;50.92;65536;65536;0
65549;"S00014";0.4;47.81;65540;65536;0
65550;"S00015";1.4;44.83;65536;65536;0
65551;"S00016";7.2;45.71;65537;65536;0
65552;"S00017";4.9;71.31;65537;65536;65552
65553;"S00018";11.6;56.57;65536;65536;0
65554;"S00019";5.5;43.91;65536;65536;0
65555;"S00020";2.9;62.94;65539;65536;0
65556;"S00021";17.3;70.85;65539;65536;0
65557;"S00022";8.9;69.9;65537;65536;0
65558;"S00023";10.3;58.59;65537;65536;0
65559;"S00024";2.9;44.46;65539;65536;0
65560;"S00025";7.3;47.65;65538;65536;0
65561;"S00026";10.6;53.86;65536;65536;0
65562;"S00027";4.2;57.81;65539;65536;65562
65563;"S00028";11.9;51.14;65541;65536;0
65564;"S00029";7.0;61.72;65538;65536;0
65565;"S00030";8.5;55.41;65537;65536;0
65566;"S00031";7.0;56.85;65536;65536;0
65567;"S00032";19.3;53.54;65537;65536;0
65568;"S00033";9.9;69.62;65536;65536;65568
65569;"S00034";4.7;49.16;65539;65536;0
65570;"S00035";14.1;61.92;65536;65536;0
65571;"S00036";3.9;52.9;65536;65536;0
65572;"S00037";11.0;47.76;65536;65536;0
65573;"S00038";0.2;49.95;65537;65536;0
65574;"S00039";3.4;51.51;65540;65536;65574
65575;"S00040";11.0;51.66;65536;65536;0
65576;"S00041";10.0;47.22;65536;65536;0
65577;"S00042";10.9;59.52;65539;65536;0
65578;"S00043";9.4;69.57;65541;65536;0
65579;"S00044";8.5;73.23;65539;65536;0
65580;"S00045";2.6;51.75;65539;65536;0
65581;"S00046";6.4;43.78;65537;65536;0
65582;"S00047";7.7;53.54;65536;65536;0
65583;"S00048";15.3;74.76;65537;65536;0
65584;"S00049";11.7;51.33;65537;65536;65584
65585;"S00050";1.2;71.16;65539;65536;65585
65586;"S00051";11.6;75.815;65539;65536;0
65587;"S00052";8.1;42.08;65539;65536;0
65588;"S00053";6.6;48.72;65536;65536;0
65589;"S00054";13.1;63.27;65537;65536;0
65590;"S00055";15.2;56.52;65540;65536;0
65591;"S00056";14.7;54.2;65540;65536;0
65592;"S00057";5.8;56.45;65539;65536;0
65593;"S00058";8.5;53.83;65536;65536;0
65594;"S00059";11.7;61.46;65539;65536;0
65595;"S00060";14.9;42.53;65536;65536;0
65596;"S00061";7.6;56.08;65540;65536;0
65597;"S00062";9.1;59.3;65539;65536;0
65598;"S00063";4.5;45.29;65536;65536;65598
65599;"S00064";4.0;35.73;65536;65536;65599
65600;"S00065";14.1;53.73;65541;65536;0
65601;"S00066";16.8;50.28;65536;65536;0
65602;"S00067";9.6;74.67;65537;65536;0
65603;"S00068";15.0;59.71;65536;65536;0
65604;"S00069";11.8;53.95;65538;65536;65598
65605;"S00070";6.8;64.34;65537;65536;0
65606;"S00071";11.8;60.53;65539;65536;0
65607;"S00072";17.7;52.68;65541;65536;0
65608;"S00073";9.8;58.96;65541;65536;0
65609;"S00074";17.8;70.08;65536;65536;65608
65610;"S00075";-2.8;32.18;65536;65536;0
65611;"S00076";14.1;61.1;65539;65536;0
65612;"S00077";10.4;61.93;65538;65536;0
65613;"S00078";8.5;67.395;65536;65536;0
65614;"S00079";10.5;65.16;65536;65536;0
65615;"S00080";0.1;55.03;65540;65536;0
65616;"S00081";8.9;59.75;65536;65536;0
65617;"S00082";11.8;47.26;65539;65536;0
65618;"S00083";17.4;45.97;65541;65536;0
65619;"S00084";7.4;58.52;65541;65536;0
65620;"S00085";6.0;62.06;65539;65536;0
65621;"S00086";7.5;60.09;65537;65536;0
65622;"S00087";14.6;52.68;65540;65536;0
65623;"S00088";11.6;50.84;65536;65536;0
65624;"S00089";7.4;58.46;65541;65536;0
65625;"S00090";12.6;57.19;65537;65536;65623
65626;"S00091";10.5;65.52;65539;65536;0
65627;"S00092";14.8;63.8;65536;65536;65625
65628;"S00093";6.5;56.43;65539;65536;0
65629;"S00094";8.4;45.025;65541;65536;0
65630;"S00095";8.0;55.62;65536;65536;0
65631;"S00096";2.7;59.21;65537;65536;0
65632;"S00097";11.5;52.89;65537;65536;0
65633;"S00098";11.3;73.925;65536;65536;0
65634;"S00099";10.0;42.99;65536;65536;0
65635;"S00100";8.8;67.61;65537;65536;65630
65636;"S00101";2.9;46.94;65536;65536;65631
65637;"S00102";7.9;58.46;65536;65536;0
65638;"S00103";10.0;52.27;65541;65536;0
65639;"S00104";6.0;53.6;65539;65536;65633
65640;"S00105";9.2;50.82;65540;65536;0
65641;"S00106";12.0;68.74;65537;65536;0
65642;"S00107";19.4;43.25;65539;65536;0
65643;"S00108";10.9;63.49;65541;65536;0
65644;"S00109";11.3;56.5;65536;65536;0
65645;"S00110";9.6;42.3;65536;65536;0
65646;"S00111";10.0;54.41;65538;65536;65640
65647;"S00112";9.9;71.25;65539;65536;0
65648;"S00113";10.3;56.87;65541;65536;65642
