"ParentID";"StudentID";"ParentEducationLevel"
40001;"S00001";"Master"
40002;"S00002";"High School"
40003;"S00003";"Associate"
40004;"S00004";"Bachelor"
40005;"S00005";"Master"
40006;"S00006";"High School"
40007;"S00007";"Doctorate"
40008;"S00008";"Doctorate"
40009;"S00009";"Bachelor"
40010;"S00010";"High School"
40011;"S00011";"Master"
40012;"S00012";"Master"
40013;"S00013";"Bachelor"
40014;"S00014";"Bachelor"
40015;"S00015";"Associate"
40016;"S00016";"High School"
40017;"S00017";"High School"
40018;"S00018";"Bachelor"
40019;"S00019";"Doctorate"
40020;"S00020";"Associate"
40021;"S00021";"Bachelor"
40022;"S00022";"Doctorate"
40023;"S00023";"High School"
40024;"S00024";"Bachelor"
40025;"S00025";"High School"
40026;"S00026";"Doctorate"
40027;"S00027";"High School"
40028;"S00028";"High School"
40029;"S00029";"Associate"
40030;"S00030";"Doctorate"
40031;"S00031";"Doctorate"
40032;"S00032";"Associate"
40033;"S00033";"Associate"
40034;"S00034";"Doctorate"
40035;"S00035";"High School"
40036;"S00036";"Master"
40037;"S00037";"Master"
40038;"S00038";"Master"
40039;"S00039";"Master"
40040;"S00040";"Master"
40041;"S00041";"Master"
40042;"S00042";"Bachelor"
40043;"S00043";"Associate"
40044;"S00044";"Bachelor"
40045;"S00045";"Doctorate"
40046;"S00046";"High School"
40047;"S00047";"Doctorate"
40048;"S00048";"High School"
40049;"S00049";"Associate"
40050;"S00050";"Master"
40051;"S00051";"High School"
40052;"S00052";"Doctorate"
40053;"S00053";"Doctorate"
40054;"S00054";"Bachelor"
40055;"S00055";"Bachelor"
40056;"S00056";"Bachelor"
40057;"S00057";"Doctorate"
40058;"S00058";"Bachelor"
40059;"S00059";"Master"
40060;"S00060";"High School"
40061;"S00061";"High School"
40062;"S00062";"Bachelor"
40063;"S00063";"Associate"
40064;"S00064";"Associate"
40065;"S00065";"High School"
40066;"S00066";"High School"
40067;"S00067";"Associate"
40068;"S00068";"Bachelor"
40069;"S00069";"Doctorate"
