"StudentID";"Gender";"Age";"GradeLevel";"at_risk";"CountryID"
"S00001";"Male";16;"Grade 11";"False";65536
"S00002";"Female";15;"Grade 10";"False";65536
"S00003";"Male";17;"Grade 12";"False";65536
"S00004";"Male";16;"Grade 11";"False";65537
"S00005";"Male";16;"Grade 11";"False";65538
"S00006";"Male";16;"Grade 11";"False";65538
"S00007";"Male";16;"Grade 11";"False";65537
"S00008";"Female";16;"Grade 11";"False";65536
"S00009";"Female";16;"Grade 11";"False";65536
"S00010";"Male";17;"Grade 12";"True";65538
"S00011";"Female";15;"Grade 10";"False";65539
"S00012";"Male";16;"Grade 11";"False";65539
"S00013";"Male";15;"Grade 10";"False";65536
"S00014";"Female";15;"Grade 10";"True";65537
"S00015";"Male";17;"Grade 12";"True";65537
"S00016";"Male";15;"Grade 10";"True";65538
"S00017";"Male";17;"Grade 12";"False";65536
"S00018";"Female";15;"Grade 10";"False";65539
"S00019";"Female";15;"Grade 10";"True";65536
"S00020";"Female";16;"Grade 11";"False";65538
"S00021";"Female";15;"Grade 10";"False";65537
"S00022";"Female";17;"Grade 12";"False";65539
"S00023";"Male";15;"Grade 10";"False";65537
"S00024";"Female";17;"Grade 12";"True";65539
"S00025";"Male";16;"Grade 11";"True";65537
"S00026";"Male";17;"Grade 12";"False";65536
"S00027";"Male";15;"Grade 11";"False";65537
"S00028";"Female";16;"Grade 11";"False";65536
"S00029";"Male";15;"Grade 10";"False";65537
"S00030";"Male";16;"Grade 11";"False";65539
"S00031";"Male";16;"Grade 12";"False";65537
"S00032";"Female";16;"Grade 11";"False";65536
"S00033";"Male";16;"Grade 11";"False";65538
"S00034";"Male";17;"Grade 12";"True";65536
"S00035";"Male";16;"Grade 11";"False";65536
"S00036";"Male";15;"Grade 10";"False";65536
"S00037";"Male";16;"Grade 11";"True";65536
"S00038";"Male";17;"Grade 12";"True";65536
"S00039";"Female";16;"Grade 11";"False";65538
"S00040";"Female";18;"Grade 12";"False";65536
"S00041";"Male";16;"Grade 11";"True";65537
"S00042";"Male";15;"Grade 10";"False";65537
"S00043";"Female";16;"Grade 11";"False";65537
"S00044";"Male";16;"Grade 11";"False";65540
"S00045";"Female";16;"Grade 11";"False";65536
"S00046";"Female";17;"Grade 12";"True";65536
"S00047";"Male";17;"Grade 12";"False";65539
"S00048";"Male";15;"Grade 11";"False";65540
"S00049";"Male";17;"Grade 12";"False";65536
"S00050";"Male";16;"Grade 11";"False";65540
"S00051";"Male";15;"Grade 11";"False";65537
"S00052";"Male";15;"Grade 10";"True";65538
"S00053";"Female";16;"Grade 11";"True";65539
"S00054";"Male";16;"Grade 11";"False";65538
"S00055";"Male";14;"Grade 10";"False";65536
"S00056";"Male";17;"Grade 12";"False";65536
"S00057";"Male";16;"Grade 11";"False";65536
"S00058";"Male";16;"Grade 11";"False";65537
"S00059";"Male";16;"Grade 11";"False";65537
"S00060";"Male";16;"Grade 11";"True";65536
"S00061";"Male";17;"Grade 12";"False";65537
"S00062";"Male";16;"Grade 11";"False";65537
"S00063";"Male";17;"Grade 12";"True";65538
"S00064";"Male";16;"Grade 11";"True";65537
"S00065";"Male";15;"Grade 10";"False";65538
"S00066";"Male";15;"Grade 10";"False";65536
"S00067";"Female";15;"Grade 10";"False";65536
"S00068";"Male";17;"Grade 12";"False";65536
"S00069";"Female";16;"Grade 11";"False";65540
"S00070";"Male";15;"Grade 10";"False";65538
"S00071";"Female";15;"Grade 10";"False";65536
"S00072";"Male";16;"Grade 11";"False";65539
"S00073";"Female";15;"Grade 10";"False";65536
"S00074";"Male";16;"Grade 11";"False";65539
"S00075";"Female";16;"Grade 11";"True";65536
"S00076";"Male";17;"Grade 12";"False";65536
"S00077";"Male";16;"Grade 11";"False";65539
"S00078";"Male";17;"Grade 12";"False";65538
"S00079";"Male";15;"Grade 11";"False";65538
"S00080";"Male";16;"Grade 11";"False";65538
"S00081";"Male";16;"Grade 11";"False";65538
"S00082";"Male";15;"Grade 10";"True";65538
"S00083";"Male";15;"Grade 10";"True";65538
"S00084";"Female";17;"Grade 11";"False";65536
"S00085";"Male";16;"Grade 11";"False";65537
"S00086";"Male";17;"Grade 12";"False";65538
"S00087";"Male";16;"Grade 11";"False";65537
"S00088";"Male";16;"Grade 11";"False";65536
"S00089";"Male";18;"Grade 12";"False";65538
"S00090";"Female";15;"Grade 11";"False";65536
"S00091";"Male";15;"Grade 10";"False";65538
"S00092";"Female";15;"Grade 10";"False";65537
"S00093";"Male";16;"Grade 11";"False";65538
"S00094";"Female";17;"Grade 12";"True";65539
"S00095";"Male";16;"Grade 12";"False";65539
"S00096";"Male";17;"Grade 12";"False";65540
"S00097";"Male";16;"Grade 11";"False";65540
"S00098";"Male";17;"Grade 12";"False";65537
"S00099";"Female";16;"Grade 11";"True";65540
"S00100";"Male";16;"Grade 11";"False";65536
"S00101";"Female";17;"Grade 12";"True";65539
"S00102";"Male";15;"Grade 10";"False";65536
"S00103";"Female";16;"Grade 11";"False";65538
"S00104";"Female";17;"Grade 12";"False";65536
"S00105";"Male";17;"Grade 12";"False";65536
"S00106";"Male";16;"Grade 11";"False";65536
"S00107";"Male";17;"Grade 12";"True";65539
"S00108";"Male";16;"Grade 11";"False";65538
"S00109";"Male";16;"Grade 11";"False";65539
"S00110";"Female";15;"Grade 10";"True";65539
"S00111";"Male";15;"Grade 11";"False";65536
"S00112";"Female";17;"Grade 12";"False";65538
"S00113";"Female";16;"Grade 11";"False";65539
"S00114";"Male";17;"Grade 12";"True";65536
"S00115";"Female";16;"Grade 11";"False";65537
"S00116";"Male";16;"Grade 11";"False";65536
"S00117";"Female";15;"Grade 10";"False";65536
"S00118";"Male";18;"Grade 12";"False";65537
"S00119";"Female";17;"Grade 12";"False";65536
"S00120";"Female";17;"Grade 12";"False";65538
"S00121";"Female";17;"Grade 12";"False";65538
"S00122";"Male";15;"Grade 10";"False";65538
"S00123";"Female";16;"Grade 11";"False";65536
"S00124";"Male";15;"Grade 10";"False";65537
"S00125";"Male";16;"Grade 11";"False";65539
"S00126";"Male";16;"Grade 11";"False";65538
"S00127";"Male";15;"Grade 10";"False";65536
"S00128";"Male";17;"Grade 12";"False";65539
"S00129";"Female";17;"Grade 12";"True";65536
"S00130";"Male";16;"Grade 11";"False";65539
"S00131";"Male";17;"Grade 12";"True";65538
"S00132";"Male";16;"Grade 11";"True";65538
"S00133";"Male";16;"Grade 12";"False";65536
"S00134";"Male";17;"Grade 12";"True";65540
"S00135";"Male";16;"Grade 11";"False";65540
"S00136";"Male";16;"Grade 12";"False";65538
"S00137";"Male";16;"Grade 11";"False";65537
"S00138";"Male";15;"Grade 10";"True";65536
"S00139";"Male";16;"Grade 11";"True";65537
"S00140";"Male";15;"Grade 10";"False";65538
"S00141";"Female";16;"Grade 11";"True";65536
"S00142";"Male";16;"Grade 11";"False";65536
"S00143";"Male";16;"Grade 11";"False";65538
"S00144";"Female";17;"Grade 12";"False";65538
"S00145";"Female";17;"Grade 11";"False";65539
"S00146";"Female";16;"Grade 11";"False";65536
"S00147";"Male";16;"Grade 11";"False";65538
"S00148";"Female";16;"Grade 11";"True";65538
"S00149";"Female";16;"Grade 11";"True";65539
"S00150";"Female";16;"Grade 11";"True";65540
"S00151";"Male";15;"Grade 10";"False";65538
"S00152";"Female";16;"Grade 11";"False";65540
"S00153";"Male";16;"Grade 11";"True";65536
"S00154";"Male";14;"Grade 10";"False";65536
"S00155";"Male";17;"Grade 12";"True";65536
"S00156";"Female";15;"Grade 10";"True";65536
"S00157";"Female";15;"Grade 11";"False";65536
"S00158";"Male";16;"Grade 11";"False";65536
"S00159";"Male";16;"Grade 11";"False";65539
"S00160";"Male";16;"Grade 11";"False";65536
"S00161";"Female";17;"Grade 12";"True";65539
"S00162";"Male";15;"Grade 10";"False";65536
"S00163";"Female";15;"Grade 10";"False";65539
"S00164";"Female";17;"Grade 12";"False";65538
"S00165";"Female";16;"Grade 11";"False";65536
"S00166";"Female";16;"Grade 11";"False";65539
"S00167";"Male";17;"Grade 12";"True";65537
"S00168";"Male";16;"Grade 11";"False";65537
"S00169";"Female";16;"Grade 11";"False";65536
"S00170";"Male";17;"Grade 12";"False";65540
"S00171";"Male";17;"Grade 12";"False";65539
"S00172";"Male";18;"Grade 12";"True";65537
"S00173";"Male";16;"Grade 11";"False";65536
"S00174";"Male";16;"Grade 11";"False";65539
"S00175";"Female";16;"Grade 11";"False";65539
"S00176";"Male";17;"Grade 12";"False";65540
"S00177";"Male";16;"Grade 11";"False";65537
"S00178";"Female";15;"Grade 10";"False";65538
"S00179";"Female";17;"Grade 12";"False";65537
"S00180";"Male";17;"Grade 12";"True";65537
"S00181";"Male";17;"Grade 12";"False";65540
"S00182";"Male";17;"Grade 12";"False";65536
"S00183";"Male";16;"Grade 11";"True";65536
"S00184";"Male";15;"Grade 10";"True";65536
"S00185";"Female";15;"Grade 11";"False";65538
"S00186";"Male";16;"Grade 11";"False";65537
"S00187";"Male";16;"Grade 11";"False";65538
"S00188";"Male";17;"Grade 12";"False";65536
"S00189";"Female";15;"Grade 10";"False";65537
"S00190";"Male";15;"Grade 10";"False";65538
"S00191";"Male";18;"Grade 12";"False";65536
"S00192";"Male";17;"Grade 12";"False";65538
"S00193";"Male";15;"Grade 10";"False";65536
"S00194";"Female";16;"Grade 11";"False";65537
"S00195";"Female";14;"Grade 10";"False";65536
"S00196";"Male";16;"Grade 11";"False";65536
"S00197";"Male";16;"Grade 11";"False";65536
"S00198";"Male";16;"Grade 11";"False";65540
"S00199";"Male";16;"Grade 11";"False";65536
