Student ID,Study Hours per Week,Attendance Rate,Previous Grades,Parent Education Level,Gender,Engagement Level,Grade Level,Age,Country,Performance Score,Engagement Category,Attendance Group,At Risk
S00001,12.5,75.3,75.0,Master,Male,1.0,Grade 11,16,Germany,62.59,Low,High,False
S00002,9.3,95.3,60.6,High School,Female,1.0,Grade 10,15,Germany,60.75,Low,High,False
S00003,13.2,75.3,64.0,Associate,Male,1.0,Grade 12,17,Germany,57.230000000000004,Low,High,False
S00004,17.6,76.8,62.4,Bachelor,Male,0.0,Grade 11,16,France,57.76,Low,High,False
S00005,8.8,89.3,72.7,Master,Male,1.0,Grade 11,16,England,64.9,Low,High,False
S00006,8.8,73.8,69.3,High School,Male,0.0,Grade 11,16,England,58.54999999999999,Low,Moderate,False
S00007,17.9,38.6,93.6,Doctorate,Male,1.0,Grade 11,16,France,61.959999999999994,Low,Low,False
S00008,13.8,95.8,59.2,Doctorate,Female,1.0,Grade 11,16,Germany,61.1,Low,High,False
S00009,7.7,100.1,91.9,Bachelor,Female,5.0,Grade 11,16,Germany,77.52000000000001,High,High,False
S00010,12.7,38.4,37.8,High School,Male,0.0,Grade 12,17,England,32.96,Low,Low,True
S00011,7.7,54.1,72.3,Master,Female,2.0,Grade 10,15,Spain,53.919999999999995,Low,Moderate,False
S00012,7.7,115.5,41.2,Master,Male,0.0,Grade 11,16,Spain,56.79,Low,High,False
S00013,11.2,79.6,49.6,Bachelor,Male,1.0,Grade 10,15,Germany,50.92,Low,High,False
S00014,0.4,75.1,50.4,Bachelor,Female,3.0,Grade 10,15,France,47.809999999999995,Moderate,High,True
S00015,1.4,66.5,49.2,Associate,Male,1.0,Grade 12,17,France,44.83,Low,Moderate,True
S00016,7.2,54.4,55.9,High School,Male,0.0,Grade 10,15,England,45.709999999999994,Low,Moderate,True
S00017,4.9,71.1,98.0,High School,Male,0.0,Grade 12,17,Germany,71.31,Low,Moderate,False
S00018,11.6,94.5,51.8,Bachelor,Female,1.0,Grade 10,15,Spain,56.57,Low,High,False
S00019,5.5,74.7,40.8,Doctorate,Female,1.0,Grade 10,15,Germany,43.910000000000004,Low,Moderate,True
S00020,2.9,87.2,72.4,Associate,Female,2.0,Grade 11,16,England,62.94,Low,High,False
S00021,17.3,110.3,68.6,Bachelor,Female,2.0,Grade 10,15,France,70.84999999999998,Low,High,False
S00022,8.9,63.4,98.2,Doctorate,Female,0.0,Grade 12,17,Spain,69.9,Low,Moderate,False
S00023,10.3,81.1,64.4,High School,Male,0.0,Grade 10,15,France,58.59,Low,High,False
S00024,2.9,95.1,30.7,Bachelor,Female,2.0,Grade 12,17,Spain,44.459999999999994,Low,High,True
S00025,7.3,56.3,58.6,High School,Male,5.0,Grade 11,16,France,47.65,High,Moderate,True
S00026,10.6,75.3,58.3,Doctorate,Male,1.0,Grade 12,17,Germany,53.85999999999999,Low,High,False
S00027,4.2,112.4,46.5,High School,Male,2.0,Grade 11,15,France,57.81,Low,High,False
S00028,11.9,68.2,56.6,High School,Female,4.0,Grade 11,16,Germany,51.14000000000001,Moderate,Moderate,False
S00029,7.0,96.4,62.8,Associate,Male,5.0,Grade 10,15,France,61.72,High,High,False
S00030,8.5,72.2,64.1,Doctorate,Male,0.0,Grade 11,16,Spain,55.41,Low,Moderate,False
S00031,7.0,111.0,44.3,Doctorate,Male,1.0,Grade 12,16,France,56.849999999999994,Low,High,False
S00032,19.3,42.1,74.1,Associate,Female,0.0,Grade 11,16,Germany,53.54,Low,Low,False
S00033,9.9,76.3,89.5,Associate,Male,1.0,Grade 11,16,England,69.62,Low,High,False
S00034,4.7,45.4,69.2,Doctorate,Male,2.0,Grade 12,17,Germany,49.16,Low,Low,True
S00035,14.1,61.0,81.6,High School,Male,1.0,Grade 11,16,Germany,61.919999999999995,Low,Moderate,False
S00036,3.9,60.9,67.7,Master,Male,1.0,Grade 10,15,Germany,52.900000000000006,Low,Moderate,False
S00037,11.0,69.7,49.3,Master,Male,1.0,Grade 11,16,Germany,47.760000000000005,Low,Moderate,True
S00038,0.2,51.2,69.1,Master,Male,0.0,Grade 12,17,Germany,49.949999999999996,Low,Moderate,True
S00039,3.4,73.6,57.5,Master,Female,3.0,Grade 11,16,England,51.51,Moderate,Moderate,False
S00040,11.0,84.2,48.4,Master,Female,1.0,Grade 12,18,Germany,51.660000000000004,Low,High,False
S00041,10.0,44.4,63.8,Master,Male,1.0,Grade 11,16,France,47.22,Low,Low,True
S00042,10.9,62.3,77.3,Bachelor,Male,2.0,Grade 10,15,France,59.519999999999996,Low,Moderate,False
S00043,9.4,125.8,59.9,Associate,Female,4.0,Grade 11,16,France,69.57,Moderate,High,False
S00044,8.5,81.6,94.1,Bachelor,Male,2.0,Grade 11,16,Portugal,73.23,Low,High,False
S00045,2.6,38.6,79.3,Doctorate,Female,2.0,Grade 11,16,Germany,51.75,Low,Low,False
S00046,6.4,47.0,56.8,High School,Female,0.0,Grade 12,17,Germany,43.78,Low,Low,True
S00047,7.7,79.5,56.3,Doctorate,Male,1.0,Grade 12,17,Spain,53.54,Low,High,False
S00048,15.3,77.0,97.2,High School,Male,0.0,Grade 11,15,Portugal,74.76,Low,High,False
S00049,11.7,63.3,60.0,Associate,Male,0.0,Grade 12,17,Germany,51.33,Low,Moderate,False
S00050,1.2,118.9,70.5,Master,Male,2.0,Grade 11,16,Portugal,71.16,Low,High,False
S00051,11.6,126.15000000000002,71.3,High School,Male,2.0,Grade 11,15,France,75.815,Low,High,False
S00052,8.1,69.7,39.1,Doctorate,Male,2.0,Grade 10,15,England,42.08,Low,Moderate,True
S00053,6.6,92.5,39.3,Doctorate,Female,1.0,Grade 11,16,Spain,48.72,Low,High,True
S00054,13.1,93.5,65.2,Bachelor,Male,0.0,Grade 11,16,England,63.27,Low,High,False
S00055,15.2,96.1,49.3,Bachelor,Male,3.0,Grade 10,14,Germany,56.519999999999996,Moderate,High,False
S00056,14.7,62.2,65.2,Bachelor,Male,3.0,Grade 12,17,Germany,54.2,Moderate,Moderate,False
S00057,5.8,113.8,42.3,Doctorate,Male,2.0,Grade 11,16,Germany,56.449999999999996,Low,High,False
S00058,8.5,73.6,60.1,Bachelor,Male,1.0,Grade 11,16,France,53.83,Low,Moderate,False
S00059,11.7,83.4,68.2,Master,Male,2.0,Grade 11,16,France,61.46000000000001,Low,High,False
S00060,14.9,75.0,34.1,High School,Male,1.0,Grade 11,16,Germany,42.53,Low,Moderate,True
S00061,7.6,72.2,65.8,High School,Male,3.0,Grade 12,17,France,56.080000000000005,Moderate,Moderate,False
S00062,9.1,80.6,66.6,Bachelor,Male,2.0,Grade 11,16,France,59.29999999999999,Low,High,False
S00063,4.5,51.3,58.0,Associate,Male,1.0,Grade 12,17,England,45.29,Low,Moderate,True
S00064,4.0,35.6,48.5,Associate,Male,1.0,Grade 11,16,France,35.73,Low,Low,True
S00065,14.1,70.7,59.4,High School,Male,4.0,Grade 10,15,England,53.73,Moderate,Moderate,False
S00066,16.8,57.4,59.4,High School,Male,1.0,Grade 10,15,Germany,50.28,Low,Moderate,False
S00067,9.6,86.0,93.9,Associate,Female,0.0,Grade 10,15,Germany,74.67,Low,High,False
S00068,15.0,83.7,63.2,Bachelor,Male,1.0,Grade 12,17,Germany,59.71,Low,High,False
S00069,11.8,75.3,58.0,Doctorate,Female,5.0,Grade 11,16,Portugal,53.95,High,High,False
S00070,6.8,104.6,63.2,Associate,Male,0.0,Grade 10,15,England,64.34,Low,High,False
S00071,11.8,74.9,71.4,Master,Female,2.0,Grade 10,15,Germany,60.53,Low,Moderate,False
S00072,17.7,45.8,70.8,Bachelor,Male,4.0,Grade 11,16,Spain,52.68,Moderate,Low,False
